timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1506463352.587,32.227,32.227,24.414,23.438,30.273,0
1506463352.590,37.109,37.598,29.785,28.809,-4.883,0
1506463352.594,31.738,31.250,26.367,23.926,-29.785,0
1506463352.598,25.391,23.926,17.578,16.113,-13.184,0
1506463352.602,21.484,21.484,13.672,10.742,-7.324,0
1506463352.606,18.066,18.555,16.113,11.719,-24.414,0
1506463352.610,17.090,16.602,15.137,13.184,-54.199,0
1506463352.614,21.973,21.484,15.137,16.602,-9.277,0
1506463352.618,25.879,21.973,18.066,19.043,8.789,0
1506463352.622,23.926,21.973,22.949,21.973,10.254,0
1506463352.626,18.555,24.902,22.949,26.367,22.461,0
1506463352.630,16.602,23.926,19.531,25.879,1.465,0
1506463352.633,18.555,22.461,17.090,24.414,7.812,0
1506463352.637,25.879,30.762,25.391,32.227,-26.855,0
1506463352.641,28.809,31.738,27.832,33.203,-53.223,0
1506463352.645,22.461,22.461,17.090,25.391,-5.859,0
1506463352.649,26.367,26.367,19.531,26.855,-5.371,0
1506463352.653,36.133,36.621,30.762,35.645,-14.648,0
1506463352.657,37.109,36.621,31.250,37.109,27.344,0
1506463352.661,32.715,29.297,24.902,30.273,39.551,0
1506463352.665,32.715,27.344,21.973,28.809,19.531,0
1506463352.669,32.715,33.203,22.949,30.273,34.180,0
1506463352.672,36.621,40.039,31.738,34.668,39.062,0
1506463352.676,34.668,36.133,32.227,32.715,25.391,0
1506463352.680,18.555,21.484,15.137,15.137,17.578,0
1506463352.684,16.113,17.578,10.254,10.742,-7.324,0
1506463352.688,25.879,21.484,17.090,19.043,1.465,0
1506463352.692,41.016,29.785,21.973,25.391,26.855,0
1506463352.696,45.410,34.668,24.414,30.273,24.414,0
1506463352.700,31.250,25.391,18.555,23.926,0.000,0
1506463352.704,21.973,20.508,15.625,17.578,28.809,0
1506463352.708,20.508,24.414,20.996,22.949,42.480,0
1506463352.712,16.113,19.531,19.531,23.926,24.902,1
